customer_id,first_name,last_name,gender,birth_date,email,city,state,loyalty_tier,loyalty_enrollment_date,credit_card_holder
1,Mary,Wright,Female,1959-03-25,elizabeth20@yahoo.com,Jessicabury,VA,Base (Blue),2024-11-04,True
2,Brandon,Lewis,Male,1946-10-19,andersonjeremy@hotmail.com,Smithmouth,HI,Base (Blue),2016-10-31,False
3,Robert,Anderson,Other/Undisclosed,2007-10-16,perezchristopher@gmail.com,West Michaelport,OR,Gold,2023-01-02,False
4,Nicole,Anderson,Female,1993-03-11,caseyelliott@hotmail.com,South Michael,TN,Gold,2012-03-08,False
5,Tamara,Jensen,Female,1991-06-24,fheath@gmail.com,Port David,TX,Base (Blue),2013-05-23,False
6,Jeffrey,Moody,Male,1964-07-02,joshuamiller@hotmail.com,Kimberlytown,NV,Gold,2021-08-14,False
7,Eric,Holmes,Male,1985-05-14,juliephillips@gmail.com,South Paul,OH,Base (Blue),2023-06-30,False
8,Andrea,Oneal,Female,1983-12-27,hatfieldsarah@gmail.com,Valenciashire,DC,Base (Blue),2013-11-02,False
9,Christopher,Ruiz,Male,1977-09-30,smithcarlos@yahoo.com,North Sandra,IL,Gold,2016-09-12,False
10,Dustin,Marquez,Male,1967-08-29,zhenderson@gmail.com,West Christopher,CO,Silver,2025-02-05,False
11,William,Moore,Male,2003-03-22,peter14@hotmail.com,Blairbury,DC,Base (Blue),2011-04-05,False
12,Jessica,Chavez,Female,1946-06-17,parkerjudith@hotmail.com,North Alexander,OH,Base (Blue),2010-12-03,False
13,Jon,Reed,Male,1941-05-14,gary24@hotmail.com,Port Rachelmouth,AZ,Platinum,2012-03-08,False
14,Austin,Joseph,Male,1959-02-03,crawfordwilliam@gmail.com,Villarrealburgh,NY,Base (Blue),2022-11-05,False
15,Ashley,Berry,Female,1957-12-11,perezwilliam@gmail.com,East Brandonstad,TN,Base (Blue),2015-11-08,False
16,Tara,Mathews,Female,1950-10-20,pwalker@yahoo.com,Josephland,NY,Base (Blue),2016-02-05,True
17,Megan,Williams,Female,1948-09-18,lindajarvis@yahoo.com,South Michelleport,VA,Diamond,2019-02-05,False
18,Aimee,Gonzalez,Female,1978-03-17,jodi37@yahoo.com,Cuevasborough,VA,Base (Blue),2015-03-18,False
