employee_id,first_name,last_name,role,base_airport,hire_date,years_of_service,status
1,Angel,Hill,First Officer,DTW,2013-10-23,12.2,Active
2,Jill,Rhodes,First Officer,SEA,2001-07-26,24.4,Active
3,Christopher,Henderson,Flight Attendant,RDU,2021-03-30,4.8,Active
4,Jeffery,Wagner,Flight Attendant,SEA,1995-11-17,30.1,Active
5,James,Santos,Lead Flight Attendant,DTW,1995-10-13,30.2,Active
6,Jeffrey,Lawrence,Flight Attendant,LAX,2011-01-11,15.0,Active
7,Adam,Shaffer,Flight Attendant,BOS,2018-10-23,7.2,Active
8,Matthew,Moore,Flight Attendant,LAX,2015-07-15,10.5,Active
9,Matthew,Davis,Flight Attendant,SLC,2023-02-27,2.8,Active
10,Melanie,Munoz,Flight Attendant,SEA,1997-11-05,28.2,Active
11,Jessica,Herrera,Captain,SLC,2018-09-28,7.3,Active
12,Nicholas,Arnold,Flight Attendant,LAX,2023-08-17,2.4,Active
13,Christine,Hensley,First Officer,BOS,2019-05-26,6.6,Active
14,Janet,Williams,Captain,MSP,2011-12-26,14.0,Active
15,Keith,Miller,Flight Attendant,JFK,2001-09-14,24.3,Active
16,Craig,Ramirez,Flight Attendant,SLC,2001-11-06,24.2,Active
17,Michael,Wood,Lead Flight Attendant,SLC,2013-09-12,12.3,Active
18,Joseph,Zuniga,Flight Attendant,MSP,2001-02-28,24.8,Active
19,Chelsea,Jackson,Flight Attendant,RDU,2014-01-23,11.9,Active
20,Frank,Gray,Flight Attendant,RDU,2016-06-12,9.6,Active
21,Danielle,Hawkins,Flight Attendant,LAX,2024-02-09,1.9,Active
22,Megan,Parsons,First Officer,SLC,2015-02-20,10.9,Active
23,Antonio,Stewart,Flight Attendant,BOS,2001-09-26,24.3,Active
24,Jason,Hahn,Lead Flight Attendant,ATL,2002-11-16,23.1,Active
25,Leonard,Rios,First Officer,LAX,2020-10-11,5.2,Active
26,Robin,Ellis,First Officer,LAX,2006-08-21,19.4,Active
27,John,Hoffman,First Officer,JFK,2002-10-16,23.2,Active
28,Brenda,Hurst,Flight Attendant,SLC,2002-09-23,23.3,Active
29,Jeffrey,Bright,Lead Flight Attendant,RDU,2006-10-01,19.3,Active
30,Christopher,Williams,Flight Attendant,RDU,2009-12-27,16.0,Active
31,Courtney,Conner,First Officer,SEA,1998-03-24,27.8,Active
32,Bryan,James,Captain,LGA,2007-06-02,18.6,Active
33,Allison,Maddox,Lead Flight Attendant,LGA,2024-04-20,1.7,Active
34,Alexander,Le,Captain,LGA,2020-04-27,5.7,Active
35,Amanda,Adams,Flight Attendant,JFK,2015-01-20,10.9,Active
36,Daniel,Graham,Flight Attendant,BOS,2013-11-08,12.1,Active
37,Stephanie,Liu,Flight Attendant,LGA,2008-05-06,17.7,Active
38,Vincent,White,Flight Attendant,MSP,2002-09-30,23.3,Active
39,Monica,Evans,Captain,DTW,2021-11-05,4.2,Active
40,Chelsea,Hernandez,Flight Attendant,LAX,2013-10-17,12.2,Active
41,Amber,Osborne,Lead Flight Attendant,BOS,2017-06-06,8.6,Active
42,Aaron,Nguyen,Flight Attendant,RDU,2010-08-08,15.4,Active
43,Sarah,Koch,First Officer,SEA,1995-07-29,30.4,Active
44,Kyle,Brown,Flight Attendant,DTW,2019-06-19,6.5,Active
45,Stacey,Miller,Flight Attendant,JFK,2020-10-29,5.2,Active
46,Chad,Hodges,Flight Attendant,LAX,2009-04-18,16.7,Active
47,David,Alvarez,First Officer,JFK,2017-07-12,8.5,Active
48,Joseph,Brennan,Flight Attendant,JFK,2011-03-05,14.8,Active
49,Jason,Ryan,Flight Attendant,MSP,2007-06-13,18.6,Active
50,James,Collins,Flight Attendant,ATL,2016-06-21,9.5,Active
51,Debra,Kim,First Officer,ATL,2024-04-09,1.7,Active
52,David,Walker,Flight Attendant,JFK,2010-03-23,15.8,Active
53,Brianna,Hall,Lead Flight Attendant,LGA,2004-12-11,21.1,Active
54,Chad,Welch,Lead Flight Attendant,RDU,2001-06-24,24.5,Active
55,Rebecca,Heath,Flight Attendant,DTW,2001-09-25,24.3,Active
56,John,Caldwell,Flight Attendant,LGA,1997-01-31,28.9,Active
57,David,Walls,Flight Attendant,SLC,2001-04-20,24.7,Active
58,Thomas,Mueller,Flight Attendant,RDU,2011-10-19,14.2,Active
59,James,Davis,Flight Attendant,JFK,2018-10-02,7.2,Active
60,Rodney,Owens,First Officer,SLC,2007-09-06,18.3,Active
61,Emily,Joyce,Flight Attendant,LGA,2016-06-12,9.6,Active
62,Richard,Morgan,Flight Attendant,SLC,1997-11-23,28.1,Active
63,John,Lee,Flight Attendant,JFK,2020-05-06,5.7,Active
